id,j,branch,wavenumber,intensity,pressure,temperature,model,npoints,rms,amplitude,amplitude_std,center,center_std,sigma,sigma_std,gamma,gamma_std,fwhm,fwhm_std,height,height_std
9,8,R35,5799.96822,0.95071,78.0,293.0,Voigt,69,0.0108850005792645,0.0340004641478505,0.0001368839700833,5799.968494174636,4.3190663024982646e-05,0.0056000070755994,6.928857444141595e-05,0.0089088549887004,6.856254355558868e-05,0.0251028448305468,0.0001072797332151,0.9585028956685476,0.0031822621752481
10,9,R35,5808.21883,0.53409,78.0,293.0,Voigt,64,0.0074660828443955,0.0166653048896404,8.681481903103094e-05,5808.218574460262,4.933582599598649e-05,0.0058674074817604,7.035735585078486e-05,0.0069518468368703,7.88562004727638e-05,0.0226896890996234,0.0001154439553429,0.5397369914356416,0.0022520814191484
11,10,R35,5815.14833,0.25991,78.0,293.0,Voigt,118,0.0073537510824501,0.0078824353905547,7.940621613785352e-05,5815.148523348992,9.5328911706699e-05,0.0042871893853055,0.0001615252402167,0.0077755493885474,0.000141513791021,0.0207353889854571,0.0002280541378736,0.2649062546594754,0.0023372645415869
12,0,R37,5683.56608,0.82995,78.0,293.0,Voigt,115,0.006640507034772,0.0496942857678914,0.0001072789563889,5683.566107786941,3.870007834070617e-05,0.004015393642053,0.0001219884192962,0.0181672410217052,5.891032784675311e-05,0.0387986150222183,0.0001108471838446,0.8332428833760577,0.0016489964115339
13,1,R37,5701.98353,1.19811,78.0,293.0,Voigt,127,0.0073324386192971,0.0799393929939992,0.0001252726363894,5701.982934848993,3.13410500364647e-05,0.0054930686400349,8.322978142804784e-05,0.0198545978111042,4.8058861417363215e-05,0.0437863617064472,8.80329993458929e-05,1.200229241043769,0.0016946975263777
14,2,R37,5719.16838,1.32846,78.0,293.0,Voigt,137,0.0080893371272188,0.0945846889504984,0.0001423477482596,5719.167765697103,3.2170415820091974e-05,0.005741817699099,8.689866275035566e-05,0.0212398015681918,4.920337350782111e-05,0.0466610304222396,9.041176780579412e-05,1.330958394511474,0.0018109152488851
15,3,R37,5735.10838,1.33776,78.0,293.0,Voigt,131,0.0090404208095364,0.0910042602243355,0.0001555009484363,5735.108114058523,3.486389890903118e-05,0.0058317417069908,8.913009761717068e-05,0.0201187303653047,5.343079453912268e-05,0.0447331521021419,9.723400481056724e-05,1.3409913079559397,0.0020583531068378
16,4,R37,5749.79318,1.27048,78.0,293.0,Voigt,120,0.0078201315709009,0.0782867591635983,0.0001277926181445,5749.792615817309,3.0203948512380183e-05,0.0053628974052808,7.621427821642306e-05,0.0181489560095964,4.621355722501713e-05,0.0404965473284487,8.386463019409473e-05,1.275737216072299,0.0018726119587718
17,5,R37,5763.21055,1.1304,78.0,293.0,Voigt,102,0.0077377818564314,0.0591223680747337,0.0001168341010346,5763.2105568966535,3.105201693740621e-05,0.0051085488024922,7.12215187059168e-05,0.0151310392043442,4.773834532373662e-05,0.0347003203010211,8.482977686852971e-05,1.1342961798735478,0.0019897791418487
19,6,R37,5775.35105,0.91165,78.0,293.0,Voigt,80,0.0069055897532518,0.0394438555682281,9.60057733297322e-05,5775.35073145936,3.13334526276475e-05,0.004984208841033,6.302415010134169e-05,0.0120416289525559,4.901132139254314e-05,0.0291039435994835,8.390993175236294e-05,0.9172339461768908,0.0019261547542561
