wavenumber,intensity,j,branch,pressure,temperature,fwhm,gamma,sigma,mean_wv,std_wv,skew_wv,kurtosis_wv,max_wv,min_wv,median_wv,mean_int,std_int,skew_int,kurtosis_int,max_int,min_int,median_int
5621.02557,0.73416,2,P37,181,315,0.0825149633529341,0.0368768187816063,0.0110593060247015,5621.025571967214,0.03343334691693437,-2.737611597953426e-05,-1.199943902515088,5621.08207,5620.96907,5621.02557,0.47383721311475413,0.17394666132784448,0.10453987977431752,-1.4506815250378433,0.73416,0.22114,0.46331
5683.55388,0.60526,0,R37,301,315,0.1402130070569829,0.0586488018030353,0.0233642465216399,5683.554817244899,0.05354921653300534,3.164736877817791e-06,-1.1999946996498037,5683.64616,5683.46348,5683.55482,0.37833377551020414,0.14302163902685658,0.23654195467949987,-1.4076863538223108,0.60526,0.18163,0.35556
5701.97037,1.02838,1,R37,301,315,0.1205881035517303,0.0573196871421266,0.0109931291883165,5701.969423404255,0.051374830173791075,-4.13792275379335e-06,-1.1999605022045836,5702.057,5701.88185,5701.969425,0.6561986170212764,0.24154969991768746,0.1528552256253789,-1.4200099050235648,1.02838,0.31089,0.6306799999999999
5719.1552,1.25557,2,R37,301,315,0.1181315775128319,0.0561548854702814,0.0107638612281677,5719.154255,0.05028681900790251,-2.0708448808842507e-11,-1.2000383303726927,5719.23994,5719.06857,5719.1542549999995,0.8033270652173911,0.2921440849297214,0.14837000655319627,-1.4085323497916333,1.25557,0.38246,0.7746649999999999
5735.09519,1.29595,3,R37,301,315,0.1139393950174795,0.054450378563212,0.0098325641179923,5735.093303820224,0.04865603259582129,1.4715938036543021e-06,-1.2000238618163823,5735.17617,5735.01044,5735.0933,0.832555393258427,0.3015429308198095,0.13571028680877553,-1.4098996579122487,1.29595,0.3946,0.80211
5749.77715,1.2162,4,R37,301,315,0.1062304158452484,0.0499035426919004,0.0107261302426187,5749.777153614457,0.045394058480307746,3.625070533368695e-06,-1.200039325513607,5749.85437,5749.69994,5749.77715,0.7784768674698795,0.2837071734004061,0.14651445093917392,-1.4093114512818556,1.2162,0.3663,0.74744
5763.19545,1.04355,5,R37,301,315,0.0952180868805379,0.0438697826449886,0.0109647541757604,5763.1954465753415,0.03995747121837326,-8.787890090724314e-06,-1.2000748587355456,5763.26324,5763.12765,5763.19545,0.6723423287671232,0.24326624418480114,0.12829735684336754,-1.4225461378858104,1.04355,0.31832,0.65155
5775.335,0.80142,6,R37,301,315,0.0874072695774346,0.0398480036575763,0.0106714653495092,5775.334057878788,0.03615204186237957,-3.903733911946901e-05,-1.2000684464845048,5775.39526,5775.27285,5775.33406,0.516665,0.18903562957813008,0.11644165444302604,-1.4454771387480898,0.80142,0.24401,0.500765
5786.18828,0.56958,7,R37,301,315,0.0897667385557507,0.0349187349629408,0.017471517607476,5786.186396949152,0.03234674690533063,3.584971208948479e-05,-1.200052128655195,5786.24101,5786.13178,5786.1864,0.36466406779661015,0.13603417356043732,0.13446999427369666,-1.4659473298882877,0.56958,0.17392,0.35298
5687.64057,1.77835,0,R35,301,315,0.1107129426282254,0.0533671076942621,0.0086100909997985,5687.639628295455,0.04811224883401043,4.550692225052445e-06,-1.2000396794612196,5687.72155,5687.55771,5687.63963,1.1408760227272727,0.4155011699432739,0.1341935641304448,-1.4161015215231456,1.77835,0.53465,1.102105
5706.07778,3.13666,1,R35,301,315,0.1089713885312684,0.0525817624033457,0.0083563549650291,5706.079658505748,0.04756901450276574,-3.7215392813323464e-06,-1.19996514918647,5706.16064,5705.99868,5706.07966,2.0236555172413797,0.7317717885804489,0.1154454715885225,-1.4190555812931631,3.13666,0.95105,1.94713
5723.29086,3.81703,2,R35,301,315,0.1107658961452339,0.0534752009751696,0.008433155145741,5723.288030568182,0.04811254127988837,-1.4776393068863037e-05,-1.200001243315396,5723.36995,5723.20611,5723.28803,2.4545868181818182,0.8783660268401785,0.13237369430291254,-1.3953883626249453,3.81703,1.1622,2.37599
5753.94859,3.80768,4,R35,301,315,0.0966623977720161,0.0458228295527681,0.0090393768480756,5753.947653289473,0.04158857998338769,3.4235327315684397e-06,-1.1999489697650538,5754.01828,5753.87703,5753.94765,2.428571315789474,0.8671065801746897,0.1775234073892067,-1.3601330621129288,3.80768,1.17387,2.333695
5767.38007,3.17453,5,R35,301,315,0.0866742672824145,0.0416806045522476,0.0069523879906474,5767.380070869565,0.03778300184798204,4.1198462734957645e-05,-1.2000045583083583,5767.4441,5767.31604,5767.38007,2.027505797101449,0.730118383943167,0.15679059604402798,-1.3753447513602268,3.17453,0.96086,1.96889
5779.53092,2.43581,6,R35,301,315,0.0764215854966528,0.0363688731943809,0.0068864739271483,5779.530923770491,0.0334339008175302,5.2245159797513884e-05,-1.2000648045116797,5779.58742,5779.47443,5779.53092,1.5546891803278686,0.5634801017376895,0.15731831387248818,-1.3834718611221106,2.43581,0.73267,1.51085
5790.39174,1.66901,7,R35,301,315,0.0680442586670536,0.0325205475190011,0.0058662028442171,5790.3926787037035,0.029628346386707673,5.423826734961643e-05,-1.200038427863456,5790.44259,5790.34277,5790.39268,1.077858148148148,0.389991730473885,0.10910188613914247,-1.4192822844497992,1.66901,0.5045,1.04748
5799.95121,1.01755,8,R35,301,315,0.063673888255981,0.0291980238148512,0.0075337347771116,5799.95121142857,0.02690901552760673,2.656601432899345e-05,-1.1999204467143378,5799.99641,5799.90601,5799.95121,0.6666067346938775,0.2407712382064124,0.039857730947909065,-1.4516582088728784,1.01755,0.30766,0.6563
5808.20181,0.54931,9,R35,301,315,0.0740583172125257,0.0288393249852702,0.0143864402073681,5808.200872083333,0.026366079187867614,7.517777193320021e-05,-1.2000691679167645,5808.24513,5808.15662,5808.20087,0.36382458333333334,0.12992206464136014,0.004059500614568266,-1.4684170929770153,0.54931,0.168,0.361595
5739.2478,3.84862,3,R35,301,315,0.1073821870797006,0.0528948520267932,0.0053601093973956,5739.247795287355,0.04756911578292901,-1.8019341277914143e-05,-1.199962786356708,5739.32878,5739.16681,5739.2478,2.495440114942529,0.907462388993813,0.10317380667013841,-1.4434528799895494,3.84862,1.15999,2.43116
5643.06735,0.55589,1,P37,301,315,0.1433080428589395,0.0600436665638917,0.023776315142616,5643.068296428572,0.05354932167697848,2.2464682287857407e-06,-1.1999853444354853,5643.15963,5642.97696,5643.068295,0.34744377551020406,0.12726998436650377,0.2627369899818414,-1.3252472321083562,0.55589,0.16906,0.32635000000000003
5621.02746,0.83476,2,P37,301,315,0.1317917535299643,0.0601794720957865,0.0159545437158556,5621.025571919192,0.05409300812404816,-3.7225062526972667e-06,-1.1999840530832715,5621.11785,5620.93329,5621.02557,0.5328142424242425,0.19321651563060135,0.17500612571058735,-1.3990818285829287,0.83476,0.25571,0.5082
5597.79921,0.92806,3,P37,301,315,0.1312622325162593,0.0604085533274885,0.0152150970191542,5597.798271500002,0.05463617740626121,-2.2930747036765836e-06,-1.2000189341659673,5597.89149,5597.70505,5597.79827,0.5846259,0.2154973984379516,0.20899095371792759,-1.3710348241148906,0.92806,0.27885,0.55524
5573.40146,0.8784,4,P37,301,315,0.1254660166773241,0.0577946680411326,0.0144644774694748,5573.400519081632,0.05354905337822151,-4.447976117707289e-06,-1.2000071115589852,5573.49186,5573.30918,5573.40052,0.5568772448979592,0.20461567583013757,0.19060683963082037,-1.395233035177477,0.8784,0.26475,0.5307649999999999
5547.84926,0.76051,5,P37,301,315,0.1208685215032125,0.0559199470831028,0.013571774827036,5547.849264494382,0.04865632288657897,1.068452526132351e-05,-1.19998638284452,5547.93213,5547.7664,5547.84926,0.4889050561797753,0.17720587501241958,0.1357606723399539,-1.418617515136117,0.76051,0.2334,0.4701
5521.15957,0.62424,6,P37,301,315,0.1229749817498317,0.0495718890224686,0.0223387825598382,5521.153923614457,0.04539405848029348,3.6250844839660406e-06,-1.2000393255136972,5521.23114,5521.07671,5521.15392,0.3851231325301204,0.14435409755289763,0.339308428858896,-1.3258083208189202,0.62453,0.19093,0.35151
5493.33427,0.44243,7,P37,301,315,0.0944382824453262,0.0429192093892085,0.0117152932090254,5493.343687526882,0.05083071975679643,4.278247559288117e-06,-1.2000137713110821,5493.43032,5493.25706,5493.34369,0.26032150537634413,0.10733585027487764,0.41222474444975704,-1.3405264293356256,0.44243,0.1338,0.23521
5647.0919,1.62856,1,P35,301,315,0.1137080130913527,0.0545762938203767,0.0093382344085,5647.090017752809,0.04865627890326323,8.751369858878614e-06,-1.1999925484149612,5647.17288,5647.00715,5647.09002,1.0383444943820226,0.3732735406082346,0.1765660310791916,-1.3701604928703583,1.62856,0.49612,0.99404
5625.01434,2.48956,2,P35,301,315,0.1160476313464423,0.0560671821019938,0.0087415300610662,5625.0171610869575,0.05028703300969292,3.3787391999267647e-07,-1.2000173642325367,5625.10285,5624.93147,5625.01716,1.6033696739130434,0.5762109325651369,0.1240356644374924,-1.4024543117199877,2.48956,0.74937,1.55355
5601.75596,2.71165,3,P35,301,315,0.1196959213093056,0.0579902386737627,0.0086496739309562,5601.7521950526325,0.05191850725394359,-3.1066586673076563e-06,-1.1999610625155255,5601.84071,5601.66368,5601.7522,1.7544600000000004,0.628265032914437,0.0980489642629573,-1.4130147140548108,2.71165,0.82514,1.70729
5551.72127,2.27735,5,P35,301,315,0.1047299597523046,0.0502555581908042,0.0086246320133929,5551.722207261906,0.04593790094262187,-2.223890100102203e-05,-1.2000020399186686,5551.80036,5551.64405,5551.72221,1.455630595238095,0.5288965033572229,0.14687645492814502,-1.3908628756064223,2.27735,0.68362,1.403205
5524.98449,1.78998,6,P35,301,315,0.0935230828191224,0.0447211074254438,0.0080167674773401,5524.984493150684,0.039957484310662504,-2.3107155590215735e-06,-1.2000709662004836,5525.05229,5524.9167,5524.98449,1.1571724657534246,0.41020411392710887,0.12798361549332474,-1.3919282239713402,1.78998,0.55469,1.13152
5497.11776,1.26832,7,P35,301,315,0.0835975523601741,0.0390799164035259,0.0087562478353437,5497.115875538461,0.03560820095284832,-4.2018393048726266e-05,-1.1999693456860883,5497.17614,5497.05561,5497.11588,0.8150363076923076,0.29629804376552815,0.13509343794116782,-1.4207923364888413,1.26832,0.38873,0.77851
5468.1286,0.83526,8,P35,301,315,0.0779546301657124,0.033934841511818,0.0115426788914845,5468.130479473685,0.031259051056167865,-5.1121606554706785e-05,-1.2000458339149755,5468.18321,5468.07775,5468.13048,0.5397856140350877,0.1986020625613795,0.09298562191774964,-1.4578654947451484,0.83526,0.25108,0.53261
5577.31489,2.58828,4,P35,301,315,0.1155757623034856,0.055875172240879,0.0086250574447681,5577.315835869566,0.050287016548013055,1.3539494268094643e-06,-1.200018826430557,5577.40152,5577.23015,5577.315834999999,1.661030760869565,0.5993991666866826,0.1470793267245767,-1.4024316100796932,2.58828,0.78492,1.60025
5683.55576,0.57396,0,R37,218,315,0.1062900772935077,0.0463015975330552,0.0157013808302886,5683.553875466666,0.041045010866245304,-3.2351347410204055e-05,-1.1999674869035017,5683.62356,5683.48419,5683.55388,0.3611602666666667,0.13611388575205147,0.20904398404522903,-1.4265905366222449,0.57396,0.17498,0.34466
5701.96848,0.97746,1,R37,218,315,0.0917520145033506,0.0422110116733462,0.0106564513348696,5701.970365070421,0.03887016398483284,-5.5926601874234194e-06,-1.1999455512550454,5702.03628,5701.90445,5701.97037,0.6258561971830987,0.2305643421344754,0.1375701157423976,-1.4319361490807996,0.97746,0.29339,0.60769
5719.1552,1.20204,2,R37,218,315,0.0888801920301936,0.0418937962767447,0.0087349256017099,5719.154255,0.03832662852834761,-2.8743835199157002e-11,-1.200069693297955,5719.21923,5719.08928,5719.1542549999995,0.771031,0.28152572637687834,0.1345676627311814,-1.4191975828519994,1.20204,0.36372,0.74471
5735.0933,1.24881,3,R37,218,315,0.0853297753329233,0.0402971625788209,0.0082525575055703,5735.095187164179,0.03669571041755936,3.0132303174560325e-05,-1.2000535859815002,5735.15733,5735.03304,5735.09519,0.8018394029850747,0.29262640771737874,0.13564241024520288,-1.4226106919807089,1.24881,0.37626,0.78029
5749.77904,1.15542,4,R37,218,315,0.0807833669925093,0.0372961840423695,0.0091884417895995,5749.778095322579,0.033977418572460845,3.290000226755149e-05,-1.2000878485394604,5749.83553,5749.72066,5749.778095,0.7497935483870966,0.2689145367382912,0.10567792864844944,-1.4301421359934923,1.15542,0.35868,0.72899
